,AIM_Chat.pcap
0,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
1,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
2,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
3,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
4,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
5,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
6,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
7,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
8,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
9,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
10,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
11,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
12,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
13,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
14,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
15,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
16,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
17,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
18,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
19,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
20,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
21,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
22,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
23,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
24,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
25,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
26,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
27,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
28,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
29,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
30,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
31,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
32,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
33,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
34,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
35,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
36,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
37,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
38,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
39,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
40,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
41,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
42,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
43,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
44,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
45,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
46,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
47,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
48,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
49,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
50,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
51,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
52,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
53,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
54,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
55,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
56,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
57,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
58,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
59,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
60,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
61,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
62,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
63,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
64,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
65,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
66,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
67,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
68,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
69,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
70,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
71,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
72,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
73,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
74,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
75,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
76,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
77,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
78,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
79,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
80,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
81,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
82,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
83,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
84,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
85,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
86,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
87,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
88,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
89,"['10.152.152.11', 49655, '5.9.28.6', 5222]"
90,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
91,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
92,"['5.9.28.6', 5222, '10.152.152.11', 49655]"
