,Email_IMAP_filetransfer.pcap
0,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
1,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
2,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
3,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
4,"['10.152.152.11', 39222, '64.233.167.16', 465]"
5,"['64.233.167.16', 465, '10.152.152.11', 39222]"
6,"['10.152.152.11', 39222, '64.233.167.16', 465]"
7,"['10.152.152.11', 39222, '64.233.167.16', 465]"
8,"['64.233.167.16', 465, '10.152.152.11', 39222]"
9,"['64.233.167.16', 465, '10.152.152.11', 39222]"
10,"['10.152.152.11', 39222, '64.233.167.16', 465]"
11,"['64.233.167.16', 465, '10.152.152.11', 39222]"
12,"['10.152.152.11', 39222, '64.233.167.16', 465]"
13,"['64.233.167.16', 465, '10.152.152.11', 39222]"
14,"['10.152.152.11', 39222, '64.233.167.16', 465]"
15,"['64.233.167.16', 465, '10.152.152.11', 39222]"
16,"['10.152.152.11', 39222, '64.233.167.16', 465]"
17,"['10.152.152.11', 39222, '64.233.167.16', 465]"
18,"['64.233.167.16', 465, '10.152.152.11', 39222]"
19,"['64.233.167.16', 465, '10.152.152.11', 39222]"
20,"['10.152.152.11', 39222, '64.233.167.16', 465]"
21,"['64.233.167.16', 465, '10.152.152.11', 39222]"
22,"['10.152.152.11', 39222, '64.233.167.16', 465]"
23,"['10.152.152.11', 39222, '64.233.167.16', 465]"
24,"['64.233.167.16', 465, '10.152.152.11', 39222]"
25,"['64.233.167.16', 465, '10.152.152.11', 39222]"
26,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
27,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
28,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
29,"['10.152.152.11', 39222, '64.233.167.16', 465]"
30,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
31,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
