,ICQ_Chat.pcap
0,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
1,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
2,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
3,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
4,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
5,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
6,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
7,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
8,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
9,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
10,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
11,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
12,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
13,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
14,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
15,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
16,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
17,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
18,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
19,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
20,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
21,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
22,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
23,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
24,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
25,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
26,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
27,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
28,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
29,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
30,"['10.152.152.11', 49616, '5.9.28.6', 5222]"
31,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
32,"['5.9.28.6', 5222, '10.152.152.11', 49616]"
