,POP_filetransfer.pcap
0,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
1,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
2,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
3,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
4,"['10.152.152.11', 50591, '74.125.136.16', 465]"
5,"['74.125.136.16', 465, '10.152.152.11', 50591]"
6,"['10.152.152.11', 50591, '74.125.136.16', 465]"
7,"['10.152.152.11', 50591, '74.125.136.16', 465]"
8,"['74.125.136.16', 465, '10.152.152.11', 50591]"
9,"['74.125.136.16', 465, '10.152.152.11', 50591]"
10,"['10.152.152.11', 50591, '74.125.136.16', 465]"
11,"['74.125.136.16', 465, '10.152.152.11', 50591]"
12,"['10.152.152.11', 50591, '74.125.136.16', 465]"
13,"['74.125.136.16', 465, '10.152.152.11', 50591]"
14,"['10.152.152.11', 50591, '74.125.136.16', 465]"
15,"['74.125.136.16', 465, '10.152.152.11', 50591]"
16,"['10.152.152.11', 50591, '74.125.136.16', 465]"
17,"['10.152.152.11', 50591, '74.125.136.16', 465]"
18,"['74.125.136.16', 465, '10.152.152.11', 50591]"
19,"['74.125.136.16', 465, '10.152.152.11', 50591]"
20,"['10.152.152.11', 50591, '74.125.136.16', 465]"
21,"['74.125.136.16', 465, '10.152.152.11', 50591]"
22,"['10.152.152.11', 50591, '74.125.136.16', 465]"
23,"['10.152.152.11', 50591, '74.125.136.16', 465]"
24,"['74.125.136.16', 465, '10.152.152.11', 50591]"
25,"['74.125.136.16', 465, '10.152.152.11', 50591]"
26,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
27,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
28,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
29,"['10.152.152.11', 50591, '74.125.136.16', 465]"
30,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
31,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
