,facebook_chat.pcap
0,"['10.152.152.11', 33806, '104.86.110.33', 443]"
1,"['10.152.152.11', 33807, '104.86.110.33', 443]"
2,"['104.86.110.33', 443, '10.152.152.11', 33806]"
3,"['104.86.110.33', 443, '10.152.152.11', 33807]"
4,"['10.152.152.11', 56005, '46.229.224.29', 443]"
5,"['46.229.224.29', 443, '10.152.152.11', 56005]"
6,"['10.152.152.11', 39920, '46.229.224.44', 443]"
7,"['46.229.224.44', 443, '10.152.152.11', 39920]"
8,"['10.152.152.11', 33650, '66.220.158.19', 443]"
9,"['66.220.158.19', 443, '10.152.152.11', 33650]"
10,"['10.152.152.11', 33650, '66.220.158.19', 443]"
11,"['66.220.158.19', 443, '10.152.152.11', 33650]"
12,"['10.152.152.11', 33650, '66.220.158.19', 443]"
13,"['66.220.158.19', 443, '10.152.152.11', 33650]"
14,"['66.220.158.19', 443, '10.152.152.11', 33650]"
15,"['10.152.152.11', 33650, '66.220.158.19', 443]"
16,"['66.220.158.19', 443, '10.152.152.11', 33650]"
17,"['10.152.152.11', 33650, '66.220.158.19', 443]"
18,"['66.220.158.19', 443, '10.152.152.11', 33650]"
19,"['10.152.152.11', 33650, '66.220.158.19', 443]"
20,"['66.220.158.19', 443, '10.152.152.11', 33650]"
21,"['10.152.152.11', 33650, '66.220.158.19', 443]"
22,"['66.220.158.19', 443, '10.152.152.11', 33650]"
23,"['10.152.152.11', 33650, '66.220.158.19', 443]"
24,"['66.220.158.19', 443, '10.152.152.11', 33650]"
25,"['10.152.152.11', 33650, '66.220.158.19', 443]"
26,"['10.152.152.11', 33650, '66.220.158.19', 443]"
27,"['66.220.158.19', 443, '10.152.152.11', 33650]"
28,"['10.152.152.11', 33650, '66.220.158.19', 443]"
29,"['10.152.152.11', 33650, '66.220.158.19', 443]"
30,"['66.220.158.19', 443, '10.152.152.11', 33650]"
31,"['66.220.158.19', 443, '10.152.152.11', 33650]"
32,"['66.220.158.19', 443, '10.152.152.11', 33650]"
33,"['10.152.152.11', 33650, '66.220.158.19', 443]"
34,"['66.220.158.19', 443, '10.152.152.11', 33650]"
35,"['10.152.152.11', 33650, '66.220.158.19', 443]"
36,"['66.220.158.19', 443, '10.152.152.11', 33650]"
37,"['10.152.152.11', 33650, '66.220.158.19', 443]"
38,"['66.220.158.19', 443, '10.152.152.11', 33650]"
39,"['10.152.152.11', 33650, '66.220.158.19', 443]"
40,"['66.220.158.19', 443, '10.152.152.11', 33650]"
41,"['10.152.152.11', 33650, '66.220.158.19', 443]"
42,"['66.220.158.19', 443, '10.152.152.11', 33650]"
43,"['10.152.152.11', 33650, '66.220.158.19', 443]"
44,"['66.220.158.19', 443, '10.152.152.11', 33650]"
45,"['10.152.152.11', 33650, '66.220.158.19', 443]"
46,"['66.220.158.19', 443, '10.152.152.11', 33650]"
47,"['10.152.152.11', 33650, '66.220.158.19', 443]"
48,"['66.220.158.19', 443, '10.152.152.11', 33650]"
49,"['10.152.152.11', 33650, '66.220.158.19', 443]"
50,"['66.220.158.19', 443, '10.152.152.11', 33650]"
51,"['10.152.152.11', 33650, '66.220.158.19', 443]"
52,"['66.220.158.19', 443, '10.152.152.11', 33650]"
53,"['10.152.152.11', 33650, '66.220.158.19', 443]"
54,"['10.152.152.11', 33650, '66.220.158.19', 443]"
55,"['66.220.158.19', 443, '10.152.152.11', 33650]"
56,"['10.152.152.11', 33650, '66.220.158.19', 443]"
57,"['66.220.158.19', 443, '10.152.152.11', 33650]"
58,"['66.220.158.19', 443, '10.152.152.11', 33650]"
59,"['10.152.152.11', 33650, '66.220.158.19', 443]"
60,"['66.220.158.19', 443, '10.152.152.11', 33650]"
61,"['10.152.152.11', 33650, '66.220.158.19', 443]"
62,"['66.220.158.19', 443, '10.152.152.11', 33650]"
63,"['10.152.152.11', 33650, '66.220.158.19', 443]"
64,"['66.220.158.19', 443, '10.152.152.11', 33650]"
65,"['10.152.152.11', 33650, '66.220.158.19', 443]"
66,"['10.152.152.11', 33650, '66.220.158.19', 443]"
