,facebookchat.pcap
0,"['2.16.162.49', 443, '10.152.152.11', 56691]"
1,"['10.152.152.11', 56691, '2.16.162.49', 443]"
2,"['2.16.162.49', 443, '10.152.152.11', 56691]"
3,"['10.152.152.11', 56691, '2.16.162.49', 443]"
4,"['10.152.152.11', 59684, '31.13.90.2', 443]"
5,"['31.13.90.2', 443, '10.152.152.11', 59684]"
6,"['10.152.152.11', 59684, '31.13.90.2', 443]"
7,"['10.152.152.11', 59684, '31.13.90.2', 443]"
8,"['31.13.90.2', 443, '10.152.152.11', 59684]"
9,"['31.13.90.2', 443, '10.152.152.11', 59684]"
10,"['31.13.90.2', 443, '10.152.152.11', 59684]"
11,"['10.152.152.11', 59684, '31.13.90.2', 443]"
12,"['31.13.90.2', 443, '10.152.152.11', 59684]"
13,"['10.152.152.11', 59684, '31.13.90.2', 443]"
14,"['31.13.90.2', 443, '10.152.152.11', 59684]"
15,"['10.152.152.11', 59684, '31.13.90.2', 443]"
16,"['31.13.90.2', 443, '10.152.152.11', 59684]"
17,"['10.152.152.11', 59684, '31.13.90.2', 443]"
18,"['31.13.90.2', 443, '10.152.152.11', 59684]"
19,"['10.152.152.11', 59684, '31.13.90.2', 443]"
20,"['10.152.152.11', 56691, '2.16.162.49', 443]"
21,"['2.16.162.49', 443, '10.152.152.11', 56691]"
22,"['10.152.152.11', 59684, '31.13.90.2', 443]"
23,"['10.152.152.11', 59684, '31.13.90.2', 443]"
24,"['31.13.90.2', 443, '10.152.152.11', 59684]"
25,"['31.13.90.2', 443, '10.152.152.11', 59684]"
26,"['10.152.152.11', 59684, '31.13.90.2', 443]"
27,"['10.152.152.11', 59684, '31.13.90.2', 443]"
28,"['31.13.90.2', 443, '10.152.152.11', 59684]"
29,"['31.13.90.2', 443, '10.152.152.11', 59684]"
30,"['10.152.152.11', 59684, '31.13.90.2', 443]"
31,"['10.152.152.11', 59684, '31.13.90.2', 443]"
32,"['31.13.90.2', 443, '10.152.152.11', 59684]"
33,"['31.13.90.2', 443, '10.152.152.11', 59684]"
34,"['31.13.90.2', 443, '10.152.152.11', 59684]"
35,"['10.152.152.11', 59684, '31.13.90.2', 443]"
36,"['31.13.90.2', 443, '10.152.152.11', 59684]"
37,"['10.152.152.11', 59684, '31.13.90.2', 443]"
38,"['31.13.90.2', 443, '10.152.152.11', 59684]"
39,"['10.152.152.11', 59684, '31.13.90.2', 443]"
40,"['31.13.90.2', 443, '10.152.152.11', 59684]"
41,"['10.152.152.11', 59684, '31.13.90.2', 443]"
42,"['31.13.90.2', 443, '10.152.152.11', 59684]"
43,"['10.152.152.11', 59684, '31.13.90.2', 443]"
44,"['31.13.90.2', 443, '10.152.152.11', 59684]"
45,"['10.152.152.11', 59684, '31.13.90.2', 443]"
46,"['31.13.90.2', 443, '10.152.152.11', 59684]"
47,"['10.152.152.11', 59684, '31.13.90.2', 443]"
48,"['31.13.90.2', 443, '10.152.152.11', 59684]"
49,"['10.152.152.11', 59684, '31.13.90.2', 443]"
50,"['10.152.152.11', 60776, '74.125.71.188', 5228]"
51,"['74.125.71.188', 5228, '10.152.152.11', 60776]"
52,"['31.13.90.2', 443, '10.152.152.11', 59684]"
53,"['10.152.152.11', 59684, '31.13.90.2', 443]"
54,"['10.152.152.11', 59684, '31.13.90.2', 443]"
55,"['31.13.90.2', 443, '10.152.152.11', 59684]"
56,"['31.13.90.2', 443, '10.152.152.11', 59684]"
57,"['10.152.152.11', 59684, '31.13.90.2', 443]"
58,"['10.152.152.11', 34115, '216.58.208.78', 443]"
59,"['216.58.208.78', 443, '10.152.152.11', 34115]"
60,"['10.152.152.11', 56714, '2.16.162.49', 443]"
61,"['10.152.152.11', 56716, '2.16.162.49', 443]"
62,"['10.152.152.11', 56718, '2.16.162.49', 443]"
63,"['2.16.162.49', 443, '10.152.152.11', 56714]"
64,"['2.16.162.49', 443, '10.152.152.11', 56716]"
65,"['2.16.162.49', 443, '10.152.152.11', 56718]"
66,"['10.152.152.11', 56690, '2.16.162.49', 443]"
67,"['10.152.152.11', 56717, '2.16.162.49', 443]"
68,"['2.16.162.49', 443, '10.152.152.11', 56690]"
69,"['2.16.162.49', 443, '10.152.152.11', 56717]"
70,"['10.152.152.11', 34073, '216.58.208.78', 443]"
71,"['216.58.208.78', 443, '10.152.152.11', 34073]"
72,"['10.152.152.11', 34073, '216.58.208.78', 443]"
73,"['216.58.208.78', 443, '10.152.152.11', 34073]"
74,"['10.152.152.11', 34073, '216.58.208.78', 443]"
75,"['10.152.152.11', 34073, '216.58.208.78', 443]"
76,"['216.58.208.78', 443, '10.152.152.11', 34073]"
77,"['216.58.208.78', 443, '10.152.152.11', 34073]"
78,"['216.58.208.78', 443, '10.152.152.11', 34073]"
79,"['10.152.152.11', 34073, '216.58.208.78', 443]"
80,"['216.58.208.78', 443, '10.152.152.11', 34073]"
81,"['10.152.152.11', 34073, '216.58.208.78', 443]"
82,"['10.152.152.11', 34073, '216.58.208.78', 443]"
