,hangout_chat.pcap
0,"['10.152.152.11', 55665, '173.194.123.41', 443]"
1,"['173.194.123.41', 443, '10.152.152.11', 55665]"
2,"['173.194.123.32', 443, '10.152.152.11', 60022]"
3,"['10.152.152.11', 60022, '173.194.123.32', 443]"
4,"['173.194.123.32', 443, '10.152.152.11', 60022]"
5,"['10.152.152.11', 60022, '173.194.123.32', 443]"
6,"['10.152.152.11', 49831, '74.125.141.105', 443]"
7,"['74.125.141.105', 443, '10.152.152.11', 49831]"
8,"['10.152.152.11', 55230, '173.194.123.45', 443]"
9,"['173.194.123.45', 443, '10.152.152.11', 55230]"
10,"['10.152.152.11', 58019, '216.58.219.237', 443]"
11,"['216.58.219.237', 443, '10.152.152.11', 58019]"
12,"['216.58.219.227', 443, '10.152.152.11', 40425]"
13,"['10.152.152.11', 40425, '216.58.219.227', 443]"
14,"['216.58.219.227', 443, '10.152.152.11', 40425]"
15,"['10.152.152.11', 40425, '216.58.219.227', 443]"
16,"['216.58.219.227', 443, '10.152.152.11', 40427]"
17,"['10.152.152.11', 40427, '216.58.219.227', 443]"
18,"['216.58.219.227', 443, '10.152.152.11', 40427]"
19,"['10.152.152.11', 40427, '216.58.219.227', 443]"
20,"['10.152.152.11', 60002, '173.194.123.32', 443]"
21,"['173.194.123.32', 443, '10.152.152.11', 60002]"
22,"['10.152.152.11', 46654, '173.194.123.57', 443]"
23,"['173.194.123.57', 443, '10.152.152.11', 46654]"
24,"['10.152.152.11', 56383, '173.194.123.46', 443]"
25,"['173.194.123.46', 443, '10.152.152.11', 56383]"
26,"['10.152.152.11', 56367, '173.194.123.46', 443]"
27,"['10.152.152.11', 56367, '173.194.123.46', 443]"
28,"['173.194.123.46', 443, '10.152.152.11', 56367]"
29,"['173.194.123.46', 443, '10.152.152.11', 56367]"
30,"['10.152.152.11', 56367, '173.194.123.46', 443]"
31,"['173.194.123.46', 443, '10.152.152.11', 56367]"
32,"['10.152.152.11', 56367, '173.194.123.46', 443]"
33,"['173.194.123.46', 443, '10.152.152.11', 56367]"
34,"['173.194.123.46', 443, '10.152.152.11', 56367]"
35,"['10.152.152.11', 56367, '173.194.123.46', 443]"
36,"['173.194.123.47', 443, '10.152.152.11', 57496]"
37,"['10.152.152.11', 57496, '173.194.123.47', 443]"
38,"['173.194.123.47', 443, '10.152.152.11', 57496]"
39,"['10.152.152.11', 57496, '173.194.123.47', 443]"
40,"['173.194.123.46', 443, '10.152.152.11', 56367]"
41,"['10.152.152.11', 56367, '173.194.123.46', 443]"
42,"['10.152.152.11', 56367, '173.194.123.46', 443]"
43,"['173.194.123.46', 443, '10.152.152.11', 56367]"
44,"['74.125.22.189', 443, '10.152.152.11', 58421]"
45,"['10.152.152.11', 58421, '74.125.22.189', 443]"
46,"['10.152.152.11', 58421, '74.125.22.189', 443]"
47,"['74.125.22.189', 443, '10.152.152.11', 58421]"
48,"['10.152.152.11', 58421, '74.125.22.189', 443]"
49,"['10.152.152.11', 58421, '74.125.22.189', 443]"
