,skype_chat.pcap
0,"['10.152.152.11', 50946, '157.56.126.188', 443]"
1,"['157.56.126.188', 443, '10.152.152.11', 50946]"
2,"['157.56.126.188', 443, '10.152.152.11', 50946]"
3,"['10.152.152.11', 50946, '157.56.126.188', 443]"
4,"['157.56.126.188', 443, '10.152.152.11', 50946]"
5,"['10.152.152.11', 50946, '157.56.126.188', 443]"
6,"['157.56.126.188', 443, '10.152.152.11', 50946]"
7,"['10.152.152.11', 50946, '157.56.126.188', 443]"
8,"['10.152.152.11', 50946, '157.56.126.188', 443]"
9,"['157.56.126.188', 443, '10.152.152.11', 50946]"
10,"['157.56.126.188', 443, '10.152.152.11', 50946]"
11,"['10.152.152.11', 50946, '157.56.126.188', 443]"
12,"['10.152.152.11', 50946, '157.56.126.188', 443]"
13,"['157.56.126.188', 443, '10.152.152.11', 50946]"
14,"['157.56.126.188', 443, '10.152.152.11', 50946]"
15,"['10.152.152.11', 50946, '157.56.126.188', 443]"
16,"['10.152.152.11', 50946, '157.56.126.188', 443]"
17,"['157.56.126.188', 443, '10.152.152.11', 50946]"
18,"['157.56.126.188', 443, '10.152.152.11', 50946]"
19,"['10.152.152.11', 50946, '157.56.126.188', 443]"
20,"['10.152.152.11', 50946, '157.56.126.188', 443]"
21,"['157.56.126.188', 443, '10.152.152.11', 50946]"
22,"['157.56.126.188', 443, '10.152.152.11', 50946]"
23,"['10.152.152.11', 50946, '157.56.126.188', 443]"
24,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
25,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
26,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
27,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
28,"['10.152.152.11', 54208, '193.219.128.49', 6667]"
29,"['193.219.128.49', 6667, '10.152.152.11', 54208]"
30,"['10.152.152.11', 54208, '193.219.128.49', 6667]"
31,"['10.152.152.11', 54208, '193.219.128.49', 6667]"
32,"['193.219.128.49', 6667, '10.152.152.11', 54208]"
33,"['10.152.152.11', 54208, '193.219.128.49', 6667]"
34,"['193.219.128.49', 6667, '10.152.152.11', 54208]"
35,"['10.152.152.11', 54208, '193.219.128.49', 6667]"
36,"['193.219.128.49', 6667, '10.152.152.11', 54208]"
37,"['193.219.128.49', 6667, '10.152.152.11', 54208]"
38,"['10.152.152.11', 54208, '193.219.128.49', 6667]"
39,"['193.219.128.49', 6667, '10.152.152.11', 54208]"
40,"['10.152.152.11', 54208, '193.219.128.49', 6667]"
41,"['193.219.128.49', 6667, '10.152.152.11', 54208]"
42,"['10.152.152.11', 54208, '193.219.128.49', 6667]"
43,"['10.152.152.11', 50946, '157.56.126.188', 443]"
44,"['157.56.126.188', 443, '10.152.152.11', 50946]"
45,"['193.219.128.49', 6667, '10.152.152.11', 54208]"
46,"['10.152.152.11', 54208, '193.219.128.49', 6667]"
47,"['193.219.128.49', 6667, '10.152.152.11', 54208]"
48,"['10.152.152.11', 54208, '193.219.128.49', 6667]"
49,"['10.152.152.11', 54208, '193.219.128.49', 6667]"
50,"['193.219.128.49', 6667, '10.152.152.11', 54208]"
51,"['193.219.128.49', 6667, '10.152.152.11', 54208]"
52,"['10.152.152.11', 54208, '193.219.128.49', 6667]"
53,"['193.219.128.49', 6667, '10.152.152.11', 54208]"
54,"['157.56.126.188', 443, '10.152.152.11', 50946]"
55,"['10.152.152.11', 50946, '157.56.126.188', 443]"
56,"['193.219.128.49', 6667, '10.152.152.11', 54208]"
57,"['10.152.152.11', 54208, '193.219.128.49', 6667]"
58,"['10.152.152.11', 54208, '193.219.128.49', 6667]"
59,"['193.219.128.49', 6667, '10.152.152.11', 54208]"
60,"['193.219.128.49', 6667, '10.152.152.11', 54208]"
61,"['10.152.152.11', 54208, '193.219.128.49', 6667]"
62,"['10.152.152.11', 50946, '157.56.126.188', 443]"
63,"['157.56.126.188', 443, '10.152.152.11', 50946]"
64,"['157.56.126.188', 443, '10.152.152.11', 50946]"
65,"['10.152.152.11', 50946, '157.56.126.188', 443]"
66,"['10.152.152.11', 50946, '157.56.126.188', 443]"
67,"['10.152.152.11', 42164, '157.55.130.175', 33033]"
68,"['157.56.126.188', 443, '10.152.152.11', 50946]"
69,"['157.55.130.175', 33033, '10.152.152.11', 42164]"
70,"['157.56.126.188', 443, '10.152.152.11', 50946]"
71,"['10.152.152.11', 50946, '157.56.126.188', 443]"
72,"['10.152.152.11', 50946, '157.56.126.188', 443]"
73,"['157.56.126.188', 443, '10.152.152.11', 50946]"
74,"['10.152.152.11', 42164, '157.55.130.175', 33033]"
75,"['157.55.130.175', 33033, '10.152.152.11', 42164]"
76,"['10.152.152.11', 42164, '157.55.130.175', 33033]"
77,"['157.55.130.175', 33033, '10.152.152.11', 42164]"
78,"['157.55.130.175', 33033, '10.152.152.11', 42164]"
79,"['10.152.152.11', 42164, '157.55.130.175', 33033]"
80,"['157.55.130.175', 33033, '10.152.152.11', 42164]"
81,"['10.152.152.11', 42164, '157.55.130.175', 33033]"
82,"['157.55.130.175', 33033, '10.152.152.11', 42164]"
83,"['10.152.152.11', 42164, '157.55.130.175', 33033]"
84,"['10.152.152.11', 42164, '157.55.130.175', 33033]"
85,"['157.55.130.175', 33033, '10.152.152.11', 42164]"
86,"['157.55.130.175', 33033, '10.152.152.11', 42164]"
87,"['10.152.152.11', 42164, '157.55.130.175', 33033]"
88,"['10.152.152.11', 42164, '157.55.130.175', 33033]"
