,skypechat.pcap
0,"['157.56.126.111', 443, '10.152.152.11', 53178]"
1,"['10.152.152.11', 53178, '157.56.126.111', 443]"
2,"['157.56.126.111', 443, '10.152.152.11', 53178]"
3,"['10.152.152.11', 53178, '157.56.126.111', 443]"
4,"['10.152.152.11', 53178, '157.56.126.111', 443]"
5,"['157.56.126.111', 443, '10.152.152.11', 53178]"
6,"['157.56.126.111', 443, '10.152.152.11', 53178]"
7,"['10.152.152.11', 53178, '157.56.126.111', 443]"
8,"['157.56.126.111', 443, '10.152.152.11', 53178]"
9,"['10.152.152.11', 53178, '157.56.126.111', 443]"
10,"['157.56.126.111', 443, '10.152.152.11', 53178]"
11,"['10.152.152.11', 53178, '157.56.126.111', 443]"
12,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
13,"['xx.xx.xx.xx', 'xxxx', 'xx.xx.xx.xx', 'xxxx']"
14,"['157.56.126.111', 443, '10.152.152.11', 53178]"
15,"['10.152.152.11', 53178, '157.56.126.111', 443]"
16,"['157.56.126.111', 443, '10.152.152.11', 53178]"
17,"['10.152.152.11', 53178, '157.56.126.111', 443]"
18,"['157.56.126.111', 443, '10.152.152.11', 53178]"
19,"['10.152.152.11', 53178, '157.56.126.111', 443]"
20,"['10.152.152.11', 53178, '157.56.126.111', 443]"
21,"['157.56.126.111', 443, '10.152.152.11', 53178]"
22,"['157.55.130.151', 40015, '10.152.152.11', 32826]"
23,"['10.152.152.11', 32826, '157.55.130.151', 40015]"
24,"['157.55.130.151', 40015, '10.152.152.11', 32826]"
25,"['10.152.152.11', 32826, '157.55.130.151', 40015]"
26,"['10.152.152.11', 32826, '157.55.130.151', 40015]"
27,"['157.55.130.151', 40015, '10.152.152.11', 32826]"
28,"['10.152.152.11', 60705, '5.178.135.69', 53262]"
29,"['5.178.135.69', 53262, '10.152.152.11', 60705]"
30,"['10.152.152.11', 60705, '5.178.135.69', 53262]"
31,"['10.152.152.11', 60705, '5.178.135.69', 53262]"
32,"['5.178.135.69', 53262, '10.152.152.11', 60705]"
33,"['5.178.135.69', 53262, '10.152.152.11', 60705]"
34,"['10.152.152.11', 60705, '5.178.135.69', 53262]"
35,"['10.152.152.11', 60705, '5.178.135.69', 53262]"
36,"['5.178.135.69', 53262, '10.152.152.11', 60705]"
37,"['10.152.152.11', 60705, '5.178.135.69', 53262]"
38,"['5.178.135.69', 53262, '10.152.152.11', 60705]"
39,"['5.178.135.69', 53262, '10.152.152.11', 60705]"
40,"['10.152.152.11', 60705, '5.178.135.69', 53262]"
41,"['5.178.135.69', 53262, '10.152.152.11', 60705]"
42,"['5.178.135.69', 53262, '10.152.152.11', 60705]"
43,"['10.152.152.11', 60705, '5.178.135.69', 53262]"
44,"['5.178.135.69', 53262, '10.152.152.11', 60705]"
45,"['10.152.152.11', 32826, '157.55.130.151', 40015]"
46,"['157.55.130.151', 40015, '10.152.152.11', 32826]"
47,"['10.152.152.11', 32826, '157.55.130.151', 40015]"
48,"['157.55.130.151', 40015, '10.152.152.11', 32826]"
49,"['5.178.135.69', 53262, '10.152.152.11', 60705]"
50,"['10.152.152.11', 60705, '5.178.135.69', 53262]"
51,"['5.178.135.69', 53262, '10.152.152.11', 60705]"
52,"['157.55.130.151', 40015, '10.152.152.11', 32826]"
53,"['10.152.152.11', 32826, '157.55.130.151', 40015]"
54,"['157.55.130.151', 40015, '10.152.152.11', 32826]"
55,"['10.152.152.11', 32826, '157.55.130.151', 40015]"
56,"['157.55.130.151', 40015, '10.152.152.11', 32826]"
57,"['10.152.152.11', 32826, '157.55.130.151', 40015]"
58,"['10.152.152.11', 43956, '5.14.63.154', 40181]"
59,"['10.152.152.11', 43519, '5.166.57.17', 22390]"
60,"['5.14.63.154', 40181, '10.152.152.11', 43956]"
61,"['10.152.152.11', 43956, '5.14.63.154', 40181]"
62,"['5.166.57.17', 22390, '10.152.152.11', 43519]"
63,"['10.152.152.11', 43519, '5.166.57.17', 22390]"
64,"['10.152.152.11', 43519, '5.166.57.17', 22390]"
65,"['5.166.57.17', 22390, '10.152.152.11', 43519]"
66,"['10.152.152.11', 43956, '5.14.63.154', 40181]"
67,"['5.14.63.154', 40181, '10.152.152.11', 43956]"
68,"['5.166.57.17', 22390, '10.152.152.11', 43519]"
69,"['10.152.152.11', 43519, '5.166.57.17', 22390]"
70,"['10.152.152.11', 43519, '5.166.57.17', 22390]"
