,spotify2-1.pcap
0,"['10.152.152.11', 56696, '68.232.34.151', 80]"
1,"['68.232.34.151', 80, '10.152.152.11', 56696]"
2,"['10.152.152.11', 35241, '23.235.43.246', 80]"
3,"['23.235.43.246', 80, '10.152.152.11', 35241]"
4,"['10.152.152.11', 35241, '23.235.43.246', 80]"
5,"['10.152.152.11', 'xxxx', '10.152.191.255', 'xxxx']"
6,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
7,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
8,"['10.152.152.11', 35242, '23.235.43.246', 80]"
9,"['23.235.43.246', 80, '10.152.152.11', 35242]"
10,"['10.152.152.11', 35242, '23.235.43.246', 80]"
11,"['10.152.152.11', 35242, '23.235.43.246', 80]"
12,"['23.235.43.246', 80, '10.152.152.11', 35242]"
13,"['23.235.43.246', 80, '10.152.152.11', 35242]"
14,"['10.152.152.11', 35242, '23.235.43.246', 80]"
15,"['23.235.43.246', 80, '10.152.152.11', 35242]"
16,"['10.152.152.11', 35242, '23.235.43.246', 80]"
17,"['23.235.43.246', 80, '10.152.152.11', 35242]"
18,"['10.152.152.11', 35242, '23.235.43.246', 80]"
19,"['23.235.43.246', 80, '10.152.152.11', 35242]"
20,"['10.152.152.11', 35242, '23.235.43.246', 80]"
21,"['23.235.43.246', 80, '10.152.152.11', 35242]"
22,"['10.152.152.11', 35242, '23.235.43.246', 80]"
23,"['23.235.43.246', 80, '10.152.152.11', 35242]"
24,"['10.152.152.11', 35242, '23.235.43.246', 80]"
25,"['23.235.43.246', 80, '10.152.152.11', 35242]"
26,"['10.152.152.11', 35242, '23.235.43.246', 80]"
27,"['23.235.43.246', 80, '10.152.152.11', 35242]"
28,"['10.152.152.11', 35242, '23.235.43.246', 80]"
29,"['23.235.43.246', 80, '10.152.152.11', 35242]"
30,"['10.152.152.11', 35242, '23.235.43.246', 80]"
31,"['23.235.43.246', 80, '10.152.152.11', 35242]"
32,"['10.152.152.11', 35242, '23.235.43.246', 80]"
33,"['23.235.43.246', 80, '10.152.152.11', 35242]"
34,"['10.152.152.11', 35242, '23.235.43.246', 80]"
