,spotifyAndrew.pcap
0,"['10.152.152.11', 55157, '194.132.197.178', 4070]"
1,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
2,"['10.152.152.11', 55157, '194.132.197.178', 4070]"
3,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
4,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
5,"['10.152.152.11', 55157, '194.132.197.178', 4070]"
6,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
7,"['10.152.152.11', 55157, '194.132.197.178', 4070]"
8,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
9,"['10.152.152.11', 55157, '194.132.197.178', 4070]"
10,"['10.152.152.11', 55157, '194.132.197.178', 4070]"
11,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
12,"['10.152.152.11', 55157, '194.132.197.178', 4070]"
13,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
14,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
15,"['10.152.152.11', 55157, '194.132.197.178', 4070]"
16,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
17,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
18,"['10.152.152.11', 57943, '80.239.178.40', 80]"
19,"['80.239.178.40', 80, '10.152.152.11', 57943]"
20,"['10.152.152.11', 57943, '80.239.178.40', 80]"
21,"['10.152.152.11', 57943, '80.239.178.40', 80]"
22,"['80.239.178.40', 80, '10.152.152.11', 57943]"
23,"['10.152.152.11', 55157, '194.132.197.178', 4070]"
24,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
25,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
26,"['10.152.152.11', 55157, '194.132.197.178', 4070]"
27,"['10.152.152.11', 55157, '194.132.197.178', 4070]"
28,"['80.239.178.40', 80, '10.152.152.11', 57943]"
29,"['10.152.152.11', 57943, '80.239.178.40', 80]"
30,"['80.239.178.40', 80, '10.152.152.11', 57943]"
31,"['10.152.152.11', 57943, '80.239.178.40', 80]"
32,"['80.239.178.40', 80, '10.152.152.11', 57943]"
33,"['10.152.152.11', 57943, '80.239.178.40', 80]"
34,"['194.132.197.178', 4070, '10.152.152.11', 55157]"
35,"['80.239.178.40', 80, '10.152.152.11', 57943]"
36,"['10.152.152.11', 57943, '80.239.178.40', 80]"
37,"['80.239.178.40', 80, '10.152.152.11', 57943]"
38,"['10.152.152.11', 57943, '80.239.178.40', 80]"
39,"['80.239.178.40', 80, '10.152.152.11', 57943]"
40,"['10.152.152.11', 57943, '80.239.178.40', 80]"
41,"['80.239.178.40', 80, '10.152.152.11', 57943]"
42,"['10.152.152.11', 57943, '80.239.178.40', 80]"
43,"['80.239.178.40', 80, '10.152.152.11', 57943]"
44,"['10.152.152.11', 57943, '80.239.178.40', 80]"
45,"['80.239.178.40', 80, '10.152.152.11', 57943]"
46,"['10.152.152.11', 57943, '80.239.178.40', 80]"
47,"['80.239.178.40', 80, '10.152.152.11', 57943]"
48,"['10.152.152.11', 57943, '80.239.178.40', 80]"
49,"['80.239.178.40', 80, '10.152.152.11', 57943]"
50,"['10.152.152.11', 57943, '80.239.178.40', 80]"
51,"['80.239.178.40', 80, '10.152.152.11', 57943]"
52,"['10.152.152.11', 57943, '80.239.178.40', 80]"
53,"['80.239.178.40', 80, '10.152.152.11', 57943]"
54,"['10.152.152.11', 57943, '80.239.178.40', 80]"
55,"['80.239.178.40', 80, '10.152.152.11', 57943]"
