,ssl.pcap
0,"['10.152.152.11', 50575, '173.194.65.113', 443]"
1,"['173.194.65.113', 443, '10.152.152.11', 50575]"
2,"['10.152.152.11', 40777, '173.194.65.106', 443]"
3,"['173.194.65.106', 443, '10.152.152.11', 40777]"
4,"['10.152.152.11', 60160, '173.194.65.94', 443]"
5,"['173.194.65.94', 443, '10.152.152.11', 60160]"
6,"['10.152.152.11', 41876, '74.125.136.94', 443]"
7,"['10.152.152.11', 41876, '74.125.136.94', 443]"
8,"['74.125.136.94', 443, '10.152.152.11', 41876]"
9,"['74.125.136.94', 443, '10.152.152.11', 41876]"
10,"['10.152.152.11', 41876, '74.125.136.94', 443]"
11,"['74.125.136.94', 443, '10.152.152.11', 41876]"
12,"['10.152.152.11', 35944, '173.194.65.139', 443]"
13,"['173.194.65.139', 443, '10.152.152.11', 35944]"
14,"['74.125.136.94', 443, '10.152.152.11', 41876]"
15,"['10.152.152.11', 41876, '74.125.136.94', 443]"
16,"['74.125.136.94', 443, '10.152.152.11', 41876]"
17,"['74.125.136.94', 443, '10.152.152.11', 41876]"
18,"['10.152.152.11', 41876, '74.125.136.94', 443]"
19,"['74.125.136.94', 443, '10.152.152.11', 41876]"
20,"['74.125.136.94', 443, '10.152.152.11', 41876]"
21,"['10.152.152.11', 41876, '74.125.136.94', 443]"
22,"['74.125.136.94', 443, '10.152.152.11', 41876]"
23,"['10.152.152.11', 42360, '74.125.136.147', 443]"
24,"['74.125.136.147', 443, '10.152.152.11', 42360]"
25,"['10.152.152.11', 41876, '74.125.136.94', 443]"
26,"['74.125.136.94', 443, '10.152.152.11', 41876]"
27,"['74.125.136.94', 443, '10.152.152.11', 41876]"
28,"['10.152.152.11', 41876, '74.125.136.94', 443]"
29,"['74.125.136.94', 443, '10.152.152.11', 41876]"
30,"['10.152.152.11', 54452, '173.194.65.105', 443]"
31,"['173.194.65.105', 443, '10.152.152.11', 54452]"
32,"['10.152.152.11', 41876, '74.125.136.94', 443]"
33,"['74.125.136.94', 443, '10.152.152.11', 41876]"
34,"['74.125.136.94', 443, '10.152.152.11', 41876]"
35,"['10.152.152.11', 41876, '74.125.136.94', 443]"
36,"['74.125.136.94', 443, '10.152.152.11', 41876]"
37,"['10.152.152.11', 57717, '173.194.44.51', 443]"
38,"['173.194.44.51', 443, '10.152.152.11', 57717]"
39,"['74.125.136.94', 443, '10.152.152.11', 41876]"
40,"['10.152.152.11', 41876, '74.125.136.94', 443]"
41,"['74.125.136.94', 443, '10.152.152.11', 41876]"
42,"['10.152.152.11', 41876, '74.125.136.94', 443]"
43,"['74.125.136.94', 443, '10.152.152.11', 41876]"
44,"['10.152.152.11', 'xxxx', '10.152.152.10', 'xxxx']"
45,"['10.152.152.11', 41876, '74.125.136.94', 443]"
46,"['74.125.136.94', 443, '10.152.152.11', 41876]"
47,"['74.125.136.94', 443, '10.152.152.11', 41876]"
48,"['10.152.152.11', 41876, '74.125.136.94', 443]"
49,"['74.125.136.94', 443, '10.152.152.11', 41876]"
50,"['10.152.152.10', 'xxxx', '10.152.152.11', 'xxxx']"
51,"['74.125.136.94', 443, '10.152.152.11', 41876]"
52,"['10.152.152.11', 60219, '173.194.65.136', 443]"
53,"['173.194.65.136', 443, '10.152.152.11', 60219]"
54,"['10.152.152.11', 60219, '173.194.65.136', 443]"
55,"['10.152.152.11', 41876, '74.125.136.94', 443]"
56,"['74.125.136.94', 443, '10.152.152.11', 41876]"
57,"['10.152.152.11', 60219, '173.194.65.136', 443]"
58,"['173.194.65.136', 443, '10.152.152.11', 60219]"
59,"['173.194.65.136', 443, '10.152.152.11', 60219]"
60,"['10.152.152.11', 60219, '173.194.65.136', 443]"
61,"['173.194.65.136', 443, '10.152.152.11', 60219]"
62,"['10.152.152.11', 60219, '173.194.65.136', 443]"
63,"['173.194.65.136', 443, '10.152.152.11', 60219]"
64,"['10.152.152.11', 60219, '173.194.65.136', 443]"
65,"['173.194.65.136', 443, '10.152.152.11', 60219]"
66,"['10.152.152.11', 60219, '173.194.65.136', 443]"
67,"['10.152.152.11', 60219, '173.194.65.136', 443]"
68,"['173.194.65.136', 443, '10.152.152.11', 60219]"
69,"['10.152.152.11', 41876, '74.125.136.94', 443]"
70,"['74.125.136.94', 443, '10.152.152.11', 41876]"
71,"['10.152.152.11', 58665, '74.125.136.190', 443]"
72,"['74.125.136.190', 443, '10.152.152.11', 58665]"
73,"['10.152.152.11', 41876, '74.125.136.94', 443]"
74,"['74.125.136.94', 443, '10.152.152.11', 41876]"
75,"['10.152.152.11', 41876, '74.125.136.94', 443]"
76,"['74.125.136.94', 443, '10.152.152.11', 41876]"
77,"['173.194.65.136', 443, '10.152.152.11', 60219]"
78,"['10.152.152.11', 60219, '173.194.65.136', 443]"
79,"['10.152.152.11', 60219, '173.194.65.136', 443]"
80,"['173.194.65.136', 443, '10.152.152.11', 60219]"
81,"['10.152.152.11', 60219, '173.194.65.136', 443]"
82,"['10.152.152.11', 60219, '173.194.65.136', 443]"
83,"['173.194.65.136', 443, '10.152.152.11', 60219]"
84,"['173.194.65.136', 443, '10.152.152.11', 60219]"
85,"['10.152.152.11', 60219, '173.194.65.136', 443]"
86,"['173.194.65.136', 443, '10.152.152.11', 60219]"
87,"['10.152.152.11', 60219, '173.194.65.136', 443]"
88,"['10.152.152.11', 60219, '173.194.65.136', 443]"
89,"['173.194.65.136', 443, '10.152.152.11', 60219]"
90,"['173.194.65.136', 443, '10.152.152.11', 60219]"
91,"['173.194.65.136', 443, '10.152.152.11', 60219]"
92,"['10.152.152.11', 60219, '173.194.65.136', 443]"
93,"['173.194.65.136', 443, '10.152.152.11', 60219]"
94,"['10.152.152.11', 60219, '173.194.65.136', 443]"
95,"['173.194.65.136', 443, '10.152.152.11', 60219]"
96,"['10.152.152.11', 41876, '74.125.136.94', 443]"
97,"['74.125.136.94', 443, '10.152.152.11', 41876]"
98,"['74.125.136.94', 443, '10.152.152.11', 41876]"
99,"['10.152.152.11', 41876, '74.125.136.94', 443]"
100,"['74.125.136.94', 443, '10.152.152.11', 41876]"
101,"['10.152.152.11', 49234, '216.58.211.163', 443]"
